CGPA,Study_Hours,Placement_Package
5.6,1.73,11.65
6.69,2.98,20.3
9.71,7.15,28.76
6.62,1.69,16.5
7.59,8.66,27.76
8.52,5.46,24.47
6.82,5.33,22.42
9.86,6.33,27.99
9.81,8.42,33.29
6.26,4.13,15.82
7.49,7.1,25.21
6.5,6.09,25.44
6.42,3.4,15.9
5.18,8.91,21.11
8.05,8.18,28.57
7.51,6.93,25.14
5.26,8.66,23.01
6.39,8.81,25.85
9.54,7.38,30.9
6.2,8.53,26.33
5.72,7.28,22.3
7.45,7.12,24.42
9.93,6.57,30.74
6.21,7.77,26.94
8.36,2.43,20.45
8.81,8.93,28.16
6.19,8.85,26.72
8.64,1.26,19.54
6.84,8.43,20.98
8.16,2.16,21.64
8.17,4.02,21.31
7.68,7.69,25.94
5.45,2.45,15.29
9.18,8.36,30.53
6.6,8.49,26.32
5.93,5.57,18.82
5.2,1.06,13.32
7.95,3.58,20.83
8.39,6.55,27.61
5.08,9.83,24.68
7.56,6.69,22.7
6.13,3.34,19.39
8.23,6.71,24.93
5.87,5.86,21.56
8.45,8.02,28.91
6.93,1.96,20.78
9.68,7.85,30.09
5.69,5.87,18.88
6.71,9.67,26.62
5.57,4.08,16.39
9.62,6.69,30.5
9.39,9.39,28.69
6.29,1.92,13.6
8.3,9.44,27.57
9.09,7.19,30.34
7.78,1.61,21.85
7.65,3.71,20.68
6.21,7.37,22.28
5.47,1.61,13.72
9.49,6.24,30.36
9.5,4.11,23.44
8.17,6.59,26.2
6.7,1.41,17.85
6.75,8.84,26.67
8.63,9.76,31.19
9.49,9.72,34.57
9.44,7.75,24.49
8.9,2.17,22.87
8.21,7.82,26.1
5.42,1.22,9.31
5.81,1.2,14.78
9.49,3.91,27.76
8.03,5.4,23.61
5.05,7.93,22.82
5.51,7.15,24.09
8.32,5.01,26.61
5.03,3.46,18.34
5.8,9.97,26.63
7.74,4.84,22.7
8.46,5.06,21.14
8.26,2.47,20.06
6.12,8.15,21.76
8.56,7.24,31.73
6.19,2.99,16.53
6.63,1.74,16.43
8.73,7.12,28.69
8.25,6.89,26.37
9.25,3.46,27.31
8.29,9.56,28.59
7.84,2.36,19.92
5.47,4.89,16.36
6.84,9.49,24.06
6.33,4.78,18.28
6.22,6.75,21.76
9.87,4.58,25.82
6.97,3.47,17.76
9.46,9.86,29.87
8.16,4.68,23.05
8.97,9.05,27.59
7.51,3.07,21.28
7.88,2.92,20.51
7.46,1.28,14.41
5.98,6.87,20.87
8.61,4.32,22.19
6.4,8.78,25.49
5.12,5.26,20.27
8.23,9.71,26.16
5.89,2.67,16.07
9.7,8.82,31.52
9.77,7.99,32.25
9.57,7.94,30.85
6.85,8.6,24.06
5.08,7.85,20.23
9.64,6.64,27.28
7.14,2.18,19.98
9.83,1.29,22.36
9.82,9.29,36.5
9.27,6.55,27.86
6.47,8.17,22.79
6.93,5.33,18.45
9.26,2.06,18.52
6.58,2.13,13.42
5.85,7.17,22.14
7.78,4.87,23.69
9.68,2.8,20.81
8.48,5.42,26.64
7.85,1.58,17.57
5.49,6.24,19.93
8.08,3.42,24.64
9.95,8.18,33.32
5.7,3.79,16.36
7.59,5.1,20.79
9.39,1.1,16.85
8.7,1.65,18.98
8.49,4.53,23.3
8.51,5.32,22.81
6.8,6.4,22.34
6.47,3.62,18.45
9.05,7.25,27.98
9.05,8.74,29.07
9.34,8.02,30.38
9.57,1.36,22.75
7.56,5.32,20.61
7.51,1.94,21.11
8.99,3.18,22.82
8.25,9.88,30.21
8.51,2.28,22.25
8.98,5.49,26.46
9.45,6.56,30.28
6.69,7.32,24.14
6.88,6.04,21.08
5.47,1.09,13.63
7.89,3.94,19.4
5.18,5.66,18.45
7.33,1.79,17.65
7.71,4.16,21.18
6.43,1.3,14.94
7.95,1.71,15.15
5.15,4.57,15.66
5.19,2.19,13.93
9.11,6.11,27.39
6.8,7.21,21.6
5.64,8.21,25.05
7.61,2.8,17.89
8.85,2.51,23.79
6.08,1.94,16.14
8.11,6.73,24.49
5.43,7.36,24.52
5.26,1.28,10.32
7.66,9.43,30.18
7.7,1.47,20.08
8.19,5.87,23.49
8.63,7.38,30.5
9.88,8.84,31.74
7.58,7.43,26.15
6.61,8.22,25.09
8.98,4.06,23.87
6.35,8.33,25.79
7.19,1.72,18.92
5.39,9.05,19.59
5.13,5.93,21.09
9.81,8.36,28.14
9.18,5.07,27.93
8.48,6.79,28.89
7.04,5.74,20.06
5.87,7.58,21.36
5.78,1.73,12.18
6.25,1.54,14.7
7.75,3.22,19.84
8.57,2.44,22.73
8.3,8.85,31.56
6.4,2.97,20.09
9.77,9.78,32.11
8.69,4.03,23.07
7.77,2.64,16.38
8.06,8.11,25.86
7.1,6.93,25.85
6.24,5.48,23.46
6.78,6.0,19.57
8.79,7.47,26.99
5.07,3.06,14.57
5.58,9.97,25.24
5.23,9.77,22.06
5.2,6.85,20.67
9.28,2.8,22.18
8.52,7.12,27.12
7.37,1.65,18.71
5.49,1.28,13.21
7.46,3.32,19.11
7.37,5.16,21.97
5.87,8.81,23.6
7.17,7.54,24.12
6.99,7.68,24.15
8.08,4.83,26.44
8.18,4.11,23.64
5.23,4.34,16.03
6.87,9.89,28.68
8.13,1.36,18.17
7.52,8.8,29.58
9.28,6.21,28.3
8.29,4.95,23.63
5.81,7.53,22.89
5.35,5.38,15.09
8.21,8.86,26.51
5.13,9.11,20.23
7.93,4.8,23.18
9.7,3.49,28.37
7.88,6.33,29.24
6.94,9.21,27.82
8.22,2.9,22.03
7.29,6.61,20.3
7.73,6.68,23.83
9.71,7.6,28.7
6.93,2.18,16.15
9.81,7.44,29.94
9.53,9.18,31.0
5.98,2.62,12.01
5.35,3.14,16.81
5.5,9.74,22.07
5.09,2.63,14.59
5.47,8.69,26.93
8.42,5.43,22.9
5.36,3.23,10.39
6.59,8.84,24.76
9.22,5.01,28.08
5.12,5.63,21.99
9.07,4.23,22.09
6.41,6.34,22.7
5.59,2.47,14.02
8.48,4.52,23.47
8.14,9.72,35.02
9.39,3.32,21.03
8.68,6.91,27.72
9.02,3.93,24.99
6.41,7.96,25.98
5.89,2.18,15.4
8.75,9.73,31.64
9.03,5.08,24.78
9.95,3.12,25.49
7.06,1.66,16.3
6.86,2.53,18.94
8.88,5.68,25.29
6.7,4.03,20.06
9.65,8.46,31.2
9.29,4.88,28.11
7.14,3.24,19.1
8.75,6.55,23.34
8.77,7.36,30.51
5.52,2.5,13.03
9.51,2.51,21.93
7.53,1.33,16.35
9.13,7.63,31.84
6.6,6.97,18.65
9.48,5.27,33.03
6.95,8.6,27.89
5.05,8.25,21.78
9.53,6.27,28.05
5.46,8.81,23.49
6.6,2.85,18.61
9.75,2.01,24.38
9.75,3.43,26.05
7.87,1.51,18.67
8.16,5.78,24.26
7.24,9.43,27.16
6.47,1.35,14.95
6.64,2.1,18.94
8.36,5.07,25.33
8.76,9.4,24.74
8.96,3.85,25.13
8.95,5.57,26.43
5.46,1.37,13.21
7.47,2.34,17.95
5.29,9.88,26.2
7.75,9.69,30.77
7.21,1.04,14.95
9.44,9.57,33.08
6.75,6.75,21.01
5.59,8.81,20.43
5.71,5.09,17.35
8.81,5.64,27.56
8.09,5.4,25.92
5.51,7.0,21.7
5.42,2.26,15.77
8.5,1.27,20.53
5.36,3.77,14.87
9.11,7.34,29.54
8.53,2.82,23.18
5.41,7.06,22.05
5.42,9.73,26.41
9.93,1.85,24.67
6.87,7.05,24.29
6.85,4.99,23.01
9.06,8.81,30.43
9.74,2.59,22.06
9.93,7.23,29.93
8.77,8.54,28.03
6.88,9.5,25.45
5.42,7.15,20.39
8.89,5.47,24.2
7.79,6.56,24.27
7.12,8.82,22.63
9.53,6.14,28.42
5.56,1.27,13.33
7.46,9.38,26.23
5.06,7.21,21.32
7.34,7.09,26.51
5.28,2.94,11.69
5.59,6.93,19.22
5.59,4.54,16.1
8.25,6.86,24.36
8.73,1.96,22.54
7.92,6.92,25.24
9.81,9.99,33.06
6.87,1.43,12.28
6.43,9.79,27.5
9.34,4.66,23.19
6.12,8.84,24.46
9.82,8.04,31.63
5.06,6.1,21.28
9.85,7.65,28.01
5.22,8.91,16.51
9.46,4.64,26.27
7.64,3.94,24.77
9.96,7.01,32.51
5.37,8.27,22.45
7.77,7.86,25.55
9.85,8.18,32.93
7.62,4.92,20.45
8.15,8.36,28.94
8.48,2.08,21.52
7.27,5.9,25.06
8.14,1.05,23.98
7.92,3.92,22.51
9.51,4.3,24.54
5.23,4.57,16.87
6.4,7.26,19.34
9.75,4.5,24.94
9.45,5.04,25.58
7.28,3.14,18.32
8.1,4.36,22.98
6.39,3.05,15.74
5.94,1.66,16.87
7.32,6.43,23.73
6.77,7.01,23.31
7.92,6.58,24.53
5.39,5.17,18.35
9.87,4.42,28.12
9.93,8.77,30.52
8.49,5.67,23.88
7.68,5.31,22.42
6.55,1.23,12.66
9.07,4.07,22.7
8.42,4.42,22.48
5.81,4.59,19.92
9.55,6.22,28.67
9.11,5.8,27.06
9.75,6.47,30.59
8.63,7.88,28.09
8.07,8.32,28.54
7.09,7.46,24.38
9.66,9.6,33.3
9.33,1.16,19.94
5.23,2.76,9.69
5.13,1.07,11.9
6.88,6.83,26.17
9.05,9.08,32.66
9.94,3.19,26.95
5.75,9.34,26.69
7.97,1.54,18.92
6.9,9.41,27.12
9.85,4.16,24.86
9.21,1.91,21.19
9.19,5.37,27.51
7.34,3.31,22.12
7.07,3.56,19.2
6.37,3.77,17.38
5.28,8.23,21.79
9.32,5.85,28.38
9.06,3.8,21.08
10.0,6.49,24.84
9.98,7.45,29.54
7.78,3.45,18.38
8.84,4.72,23.68
9.72,2.1,22.85
9.25,2.63,21.94
6.24,7.13,25.28
7.25,2.63,19.3
5.65,5.73,19.91
9.77,7.38,31.36
8.03,1.96,17.13
6.14,6.11,22.92
8.36,3.31,21.71
8.09,9.67,30.9
6.79,5.35,19.07
5.57,8.25,19.31
8.36,5.95,26.93
7.6,1.39,18.52
8.86,6.7,25.51
7.6,9.56,26.65
9.26,6.41,30.03
7.76,8.37,24.8
7.8,8.96,31.31
9.38,3.05,21.86
7.02,2.91,19.8
5.67,6.5,19.7
5.14,4.7,18.11
8.78,8.56,28.48
8.1,9.1,28.51
8.52,4.18,23.41
6.06,3.13,14.79
5.68,8.02,23.84
5.07,3.47,14.13
6.75,8.4,24.64
7.95,4.81,20.96
6.96,7.01,18.6
7.19,1.86,17.13
9.52,6.61,33.41
6.74,5.07,22.31
7.57,6.28,24.02
8.92,2.51,21.47
6.98,7.63,24.62
8.11,8.77,29.53
9.31,2.95,21.02
9.75,1.86,25.12
5.74,1.21,15.06
9.63,6.78,30.47
7.46,6.46,24.94
6.29,5.92,20.94
7.3,3.09,20.69
9.9,4.52,27.85
7.46,6.35,23.21
6.64,5.47,19.91
8.17,9.89,30.22
6.2,2.23,19.02
5.38,7.26,18.26
5.64,4.64,14.94
5.64,4.85,18.48
5.76,7.46,21.9
5.69,7.23,21.69
8.2,9.92,30.6
5.91,2.16,14.77
6.73,1.94,19.63
9.48,7.52,26.48
7.37,6.21,21.89
8.34,3.47,21.82
5.86,1.71,11.24
5.96,1.77,14.47
5.2,9.05,26.01
5.84,2.73,15.85
6.39,3.91,18.96
5.89,3.04,13.8
5.44,4.19,15.64
5.6,1.62,13.12
7.3,5.67,22.07
6.03,1.61,17.32
6.82,8.2,26.1
7.52,3.1,17.6
8.45,5.86,25.86
5.2,8.92,23.51
9.0,6.86,30.1
8.14,5.8,27.8
5.41,3.92,14.43
9.37,4.0,23.26
9.6,7.03,26.78
5.31,9.95,23.62
6.38,6.96,23.38
9.03,6.02,28.76
8.74,7.58,28.06
5.92,5.19,18.54
6.05,1.54,15.01
6.85,6.06,20.59
7.42,9.62,32.27
8.09,2.58,17.13
6.84,7.21,24.11
7.31,2.81,23.05
8.74,5.82,25.93
5.18,1.87,12.93
6.26,5.05,19.0
8.57,7.81,27.79
9.48,4.13,28.02
7.56,6.98,20.53
7.66,8.16,29.76
5.54,9.34,20.93
7.24,3.11,18.71
7.66,4.59,21.19
6.21,2.37,17.3
6.35,9.93,23.05
6.89,9.34,27.54
5.1,5.86,22.38
6.61,8.58,22.31
6.06,5.69,20.5
6.64,6.61,21.21
5.6,1.8,14.95
9.45,7.8,30.02
7.97,2.15,18.25
8.4,8.43,29.57
8.95,8.04,32.86
7.49,7.38,24.94
5.43,1.33,14.57
7.69,3.73,18.41
7.93,3.37,19.12
8.73,4.24,24.79
7.16,1.79,20.33
5.64,9.43,24.81
6.42,5.98,20.63
6.82,3.75,19.2
8.23,4.57,20.72
7.85,5.02,24.22
6.78,6.41,24.34
9.93,5.64,27.28
8.03,9.27,27.97
6.19,5.47,20.64
5.51,9.93,23.61
5.76,8.66,23.22
6.23,2.88,21.03
5.8,9.38,23.88
5.93,2.05,14.4
6.43,8.36,23.08
5.87,4.43,19.57
9.48,8.9,31.12
5.4,8.81,21.49
7.62,8.25,29.37
7.05,8.11,28.19
9.91,3.74,24.47
5.56,1.73,10.19
6.99,4.63,22.71
9.85,2.56,22.64
9.33,7.25,30.6
9.09,4.11,20.49
6.29,9.78,27.71
5.85,6.77,18.66
8.34,8.4,29.9
9.65,2.19,23.14
7.78,8.76,25.82
7.86,9.3,27.78
6.4,5.38,21.81
8.85,6.46,27.19
5.94,7.88,23.89
6.62,2.57,21.2
7.13,5.52,19.02
7.54,4.59,25.04
6.21,2.32,16.27
5.57,4.31,15.5
8.05,1.61,16.34
6.44,1.23,14.74
7.91,2.22,21.34
5.77,9.67,24.43
7.41,5.95,26.32
7.66,9.69,25.78
5.26,4.89,17.38
6.68,3.81,16.48
5.67,5.56,19.86
5.32,4.96,19.39
9.95,1.95,22.59
6.61,6.77,17.47
9.05,2.94,23.22
6.27,6.58,22.59
8.41,6.85,27.37
8.8,2.37,24.03
7.98,1.55,16.63
7.36,8.03,27.26
7.06,5.14,23.89
6.74,1.52,12.57
9.65,9.95,33.84
9.15,1.52,20.18
9.83,7.26,29.92
5.62,9.85,25.3
8.65,3.15,21.29
9.69,2.28,21.96
5.91,2.09,15.2
5.33,3.73,13.87
8.71,1.91,18.6
7.87,7.23,27.28
9.21,1.56,19.07
5.7,5.58,20.56
8.98,9.97,32.74
6.01,8.33,20.0
5.82,6.54,19.37
5.82,3.76,19.5
9.07,6.62,25.69
8.33,5.74,24.03
7.62,4.83,23.21
6.79,2.18,18.66
9.39,8.98,30.89
6.96,5.05,19.99
9.08,2.75,25.49
7.2,4.31,24.2
6.88,4.73,22.55
7.31,8.45,26.51
6.51,7.6,21.93
8.74,7.92,26.99
7.51,1.1,18.25
6.16,4.75,19.95
9.5,5.33,29.68
6.92,1.17,17.35
7.72,3.34,17.55
9.53,7.84,32.31
8.12,2.23,17.95
5.58,5.82,18.52
9.7,2.94,24.69
8.14,1.11,22.53
6.67,3.17,24.35
5.7,9.78,25.9
8.97,8.21,29.14
8.1,9.64,30.61
7.67,5.39,24.89
9.47,1.99,21.83
8.94,5.93,30.07
5.76,5.09,19.17
6.56,8.6,25.95
6.24,1.88,16.88
8.72,5.39,26.16
5.17,2.35,15.59
7.85,3.92,20.35
8.81,7.64,27.32
9.38,5.28,24.36
6.71,4.38,20.66
9.11,4.55,26.6
5.55,5.14,19.25
9.23,8.07,33.22
5.64,9.03,23.57
6.99,9.6,28.5
8.99,8.08,27.2
5.75,3.84,16.29
6.15,7.19,23.65
8.61,4.94,26.2
8.6,3.29,21.75
8.21,8.57,28.24
8.47,1.35,16.51
7.71,9.12,27.33
6.26,5.15,21.62
6.73,6.73,24.03
5.91,6.93,22.42
9.54,9.06,31.91
7.92,6.73,25.4
7.0,6.53,21.87
7.31,1.6,18.83
9.74,5.67,28.67
5.77,2.35,16.16
7.93,7.64,25.53
7.53,5.61,18.8
8.06,7.12,28.38
5.09,1.38,11.53
9.36,1.76,20.22
9.66,7.45,31.36
7.83,1.65,17.8
8.48,1.64,22.06
9.61,1.11,22.86
8.54,9.61,31.79
5.76,7.64,19.3
7.88,4.18,24.41
8.03,3.67,22.16
7.12,4.15,19.61
8.68,7.97,28.88
9.67,6.95,25.79
9.63,2.67,24.51
7.25,2.57,16.51
5.57,1.89,11.45
9.92,6.94,26.81
9.19,7.88,31.77
5.62,3.39,14.95
9.6,1.19,24.77
9.35,1.74,20.83
7.59,9.71,25.15
7.96,3.66,19.24
7.0,7.92,27.47
5.27,6.62,19.36
6.68,4.44,18.7
9.01,2.85,22.95
5.02,2.09,14.26
6.67,6.54,24.74
6.99,7.97,27.94
7.69,6.8,24.27
9.6,5.77,25.01
6.73,1.38,15.1
6.73,9.72,27.29
8.69,8.19,26.97
7.26,3.64,18.06
6.12,9.82,26.31
7.26,6.42,23.49
5.7,6.24,20.15
5.88,7.73,20.88
7.49,8.31,26.07
7.09,6.91,22.02
9.57,2.15,24.67
6.81,4.04,21.62
7.9,9.35,25.05
8.16,3.02,19.2
5.07,4.35,13.31
8.32,4.89,22.53
5.89,4.95,18.64
9.81,6.52,26.18
5.74,9.49,22.55
7.07,3.17,16.96
5.43,2.09,14.53
9.98,2.78,24.71
7.51,8.98,26.0
7.98,6.81,25.96
5.34,3.57,14.76
8.75,8.34,28.67
6.05,8.75,27.43
9.49,8.62,33.82
6.03,9.27,22.11
5.95,3.27,18.41
5.18,7.8,22.64
7.36,5.14,19.84
7.82,8.58,29.21
5.33,7.56,24.1
8.88,7.99,26.79
7.27,6.91,22.41
7.62,2.6,21.42
7.2,5.91,23.35
7.0,9.86,28.62
7.8,9.44,29.33
5.78,1.39,14.73
5.91,2.48,12.98
9.31,2.19,24.49
9.73,7.53,32.56
6.87,8.36,24.84
6.35,2.92,17.04
8.22,5.55,21.41
7.04,8.57,26.95
5.13,7.6,21.8
5.78,5.88,19.66
8.58,6.31,28.47
8.29,5.58,23.99
5.14,3.68,16.71
6.11,6.09,18.71
6.16,7.2,22.25
8.36,8.86,28.73
5.1,6.73,19.91
5.52,7.85,21.06
9.0,2.44,21.81
5.89,5.15,20.72
8.26,1.08,17.88
6.19,3.22,13.97
5.5,7.54,24.85
6.22,9.93,28.73
8.61,1.89,17.95
9.28,4.61,26.86
9.15,8.2,28.87
6.99,2.84,18.9
8.34,6.0,25.9
6.02,7.6,22.05
6.47,6.54,20.52
9.48,2.69,22.02
5.07,4.2,14.27
5.43,8.05,20.2
6.04,5.99,20.34
5.13,1.05,10.71
5.91,7.85,23.98
7.92,1.32,21.32
7.11,7.71,23.79
9.46,2.82,24.01
9.09,9.62,32.59
6.71,4.31,20.64
6.3,3.94,18.5
6.9,2.34,19.02
7.95,3.75,22.53
6.34,8.89,22.4
8.12,9.97,31.75
7.05,4.31,22.18
7.76,5.04,21.32
7.18,7.5,24.9
6.47,8.98,26.63
9.74,6.34,28.28
8.82,4.52,26.54
5.7,4.71,22.82
9.34,7.26,27.48
7.44,1.03,14.2
9.47,6.58,29.05
9.0,4.2,25.8
7.13,8.15,25.11
5.11,1.84,16.03
6.34,6.29,18.81
7.71,5.33,24.51
8.17,6.78,24.76
6.29,1.58,18.7
5.7,6.22,24.04
9.17,6.05,25.59
9.92,6.05,27.6
7.63,6.43,26.1
5.86,7.09,20.75
6.36,8.24,23.98
5.09,3.43,15.2
9.57,8.43,27.22
5.59,5.48,18.84
7.88,1.69,17.37
6.37,1.53,14.38
7.77,4.01,24.42
8.26,8.06,25.31
9.15,7.37,30.42
6.03,8.1,22.64
5.05,5.66,17.4
5.68,4.96,19.96
9.5,2.33,23.66
9.37,3.95,25.95
7.99,4.91,25.1
8.0,1.8,18.48
8.33,2.99,20.16
5.88,6.38,18.47
9.57,7.62,28.35
7.09,9.99,33.77
6.92,9.4,29.24
7.59,6.78,22.05
5.23,4.79,14.57
5.83,6.73,21.96
8.69,8.07,29.83
5.41,2.07,15.15
8.02,4.69,22.43
6.23,8.56,23.96
6.95,4.45,21.04
6.44,6.15,21.69
6.78,6.29,17.98
8.6,2.66,21.06
6.49,4.26,17.46
7.83,4.01,22.01
7.38,1.24,23.08
8.32,1.22,19.79
9.68,8.49,30.74
8.66,3.46,24.53
6.07,5.66,21.07
5.16,3.69,16.47
6.31,9.47,26.78
7.98,3.33,25.2
5.26,4.87,15.12
7.48,8.85,28.16
7.98,8.58,26.06
6.67,2.67,18.59
8.85,8.22,27.43
5.53,5.12,17.43
5.38,5.35,17.66
8.64,2.2,22.96
7.48,1.73,19.79
8.44,7.55,25.05
7.17,5.47,22.28
6.23,4.93,18.07
9.1,7.57,26.43
9.0,7.89,28.72
8.47,2.43,20.33
6.36,6.49,26.65
7.95,2.22,20.45
6.8,7.76,21.61
5.46,6.91,19.32
9.59,9.61,34.67
5.68,1.62,18.21
9.75,1.51,19.27
7.23,3.54,16.03
